fir_narrative,district,police_station,crime_location_type,date_of_crime,time_of_crime,day_of_week,season,reported_by,victim_gender,victim_age,accused_gender,accused_age,weapon_used,vehicle_involved,num_accused,relationship,ipc_section,crime_category,FIR_Quality_Score,Completeness,Consistency,Relevance
The accused forcibly entered the victim’s home and committed the crime.,Bikaner,Station C,school,2024-07-03,15:53:19,Wednesday,Monsoon,Police,Male,22,Male,29,gun,bike,2,Acquaintance,IPC 376 (Rape),Rape,1.05,0.0,0.0,1.0499506294727325
"A violent brawl broke out at a school, leading to serious injuries.",Didwana-Kuchaman,Station A,school,2024-11-25,07:53:51,Monday,Spring,Victim,Male,50,Female,45,knife,auto,5,Acquaintance,IPC 323 (Assault),Assault,0.8,0.0,0.0,0.7969265878200531
The victim was robbed at gunpoint while returning home from work.,Karauli,Station B,bus stop,2025-03-24,11:30:26,Monday,Winter,Relative,Female,56,Female,50,stick,bike,1,Friend,IPC 392 (Robbery),Robbery,1.2,0.0,0.0,1.2045089900493622
A rape case was registered involving a Friend in an isolated bus stop.,Tonk,Station C,bus stop,2024-11-26,08:58:40,Tuesday,Monsoon,Victim,Female,58,Other,68,stick,bike,2,Friend,IPC 376 (Rape),Rape,2.18,0.8,0.0,1.3800539374351501
Robbers stormed a house and made away with cash and gold.,Balotra,Station A,school,2025-05-20,01:28:24,Tuesday,Winter,Police,Other,47,Male,37,stick,car,5,Friend,IPC 392 (Robbery),Robbery,1.0,0.0,0.0,1.004294514656067
The accused used a stick to fatally wound the victim at their residence.,Bharatpur,Station A,school,2025-02-16,10:43:43,Sunday,Monsoon,Relative,Other,67,Other,16,stick,auto,5,Acquaintance,IPC 302 (Murder),Murder,1.08,0.0,0.0,1.080114483833313
A theft was reported where items were stolen from a bus stop.,Jhunjhunu,Station C,bus stop,2025-04-02,11:43:23,Wednesday,Monsoon,Police,Male,56,Female,63,knife,car,5,Relative,IPC 379 (Theft),Theft,1.37,0.0,0.0,1.3653340637683868
A local resident was found murdered in a highway under mysterious circumstances.,Karauli,Station A,highway,2025-03-10,09:13:55,Monday,Summer,Relative,Female,33,Other,39,stick,auto,3,Neighbor,IPC 302 (Murder),Murder,0.91,0.0,0.0,0.9085416197776794
Jewelry and cash were stolen from a park during daytime.,Bharatpur,Station A,park,2024-09-21,17:40:14,Saturday,Monsoon,Police,Male,49,Female,15,bare hands,car,2,Acquaintance,IPC 379 (Theft),Theft,1.81,0.8,0.0,1.009999394416809
The accused used a stick to fatally wound the victim at their residence.,Dausa,Station B,highway,2025-05-23,21:19:26,Friday,Summer,Victim,Other,45,Other,33,stick,scooter,2,Stranger,IPC 302 (Murder),Murder,1.08,0.0,0.0,1.080114483833313
Pickpocketing occurred in a crowded park.,Bharatpur,Station B,park,2025-02-01,16:58:51,Saturday,Winter,Police,Other,25,Male,59,gun,car,5,Acquaintance,IPC 379 (Theft),Theft,0.81,0.0,0.0,0.8108842670917511
The victim’s vehicle was broken into and items were stolen.,Rajsamand,Station A,highway,2024-12-31,15:14:32,Tuesday,Monsoon,Eyewitness,Female,27,Female,42,stick,bike,5,Friend,IPC 379 (Theft),Theft,1.15,0.0,0.0,1.1471603214740753
Unknown suspects broke into a bus stop and stole valuables.,Jaipur,Station C,bus stop,2025-04-14,22:42:45,Monday,Monsoon,Eyewitness,Other,64,Other,56,gun,auto,3,Acquaintance,IPC 379 (Theft),Theft,0.98,0.0,0.0,0.9772862792015076
"An armed robbery took place at a bus stop, threatening the occupants.",Salumbar,Station A,bus stop,2025-03-05,17:36:59,Wednesday,Winter,Police,Male,34,Female,49,gun,auto,1,Acquaintance,IPC 392 (Robbery),Robbery,1.25,0.0,0.0,1.2470667958259583
The body of the victim was discovered at a market with signs of struggle.,Nagaur,Station B,market,2024-09-11,05:06:29,Wednesday,Summer,Eyewitness,Female,41,Female,54,bare hands,scooter,3,Friend,IPC 302 (Murder),Murder,0.87,0.0,0.0,0.8729285001754761
The accused physically assaulted the victim using a gun at a school.,Pali,Station C,school,2025-02-27,09:16:49,Thursday,Summer,Relative,Male,39,Male,24,gun,scooter,1,Friend,IPC 323 (Assault),Assault,0.77,0.0,0.0,0.7719437777996063
An incident of rape was reported where the accused lured the victim to a residential area.,Kota,Station C,residential area,2024-08-10,12:22:11,Saturday,Monsoon,Police,Male,71,Female,54,gun,auto,1,Neighbor,IPC 376 (Rape),Rape,1.26,0.0,0.0,1.255059152841568
Pickpocketing occurred in a crowded market.,Alwar,Station A,market,2024-07-14,11:28:41,Sunday,Spring,Relative,Male,78,Male,62,knife,bike,2,Neighbor,IPC 379 (Theft),Theft,0.77,0.0,0.0,0.7711847126483917
The accused used a bare hands to fatally wound the victim at their residence.,Jalore,Station B,bus stop,2024-12-25,09:41:20,Wednesday,Monsoon,Relative,Male,23,Male,54,bare hands,scooter,3,Neighbor,IPC 302 (Murder),Murder,0.99,0.0,0.0,0.9882590174674988
The victim was robbed at gunpoint while returning home from work.,Baran,Station C,market,2024-11-23,12:50:54,Saturday,Summer,Relative,Female,33,Female,17,knife,bike,4,Friend,IPC 392 (Robbery),Robbery,1.2,0.0,0.0,1.2045089900493622
The accused physically assaulted the victim using a knife at a bus stop.,Tonk,Station B,bus stop,2025-02-12,16:54:55,Wednesday,Spring,Relative,Other,52,Female,39,knife,bike,2,Neighbor,IPC 323 (Assault),Assault,0.78,0.0,0.0,0.7791455090045929
Jewelry and cash were stolen from a highway during daytime.,Dungarpur,Station B,highway,2025-04-17,17:39:20,Thursday,Winter,Eyewitness,Other,54,Female,25,gun,bike,4,Stranger,IPC 379 (Theft),Theft,1.79,0.8,0.0,0.9935021102428436
Unknown suspects broke into a market and stole valuables.,Phalodi,Station C,market,2025-03-09,02:24:05,Sunday,Spring,Relative,Other,28,Male,64,stick,bike,3,Relative,IPC 379 (Theft),Theft,1.06,0.0,0.0,1.062130630016327
"A violent brawl broke out at a park, leading to serious injuries.",Sawai Madhopur,Station A,park,2024-12-18,23:58:13,Wednesday,Winter,Relative,Female,13,Other,56,gun,bike,4,Neighbor,IPC 323 (Assault),Assault,0.86,0.0,0.0,0.8555434942245483
The accused forcibly entered the victim’s home and committed the crime.,Sri Ganganagar,Station B,highway,2024-10-28,23:08:34,Monday,Monsoon,Police,Female,54,Male,61,knife,bike,3,Stranger,IPC 376 (Rape),Rape,1.05,0.0,0.0,1.0499506294727325
The accused forcefully snatched the victim's belongings and fled on a bike.,Deeg,Station A,highway,2024-11-20,17:18:16,Wednesday,Spring,Victim,Female,30,Male,16,stick,bike,4,Stranger,IPC 392 (Robbery),Robbery,0.77,0.0,0.0,0.7719154357910156
Police received a report of assault involving two individuals at a market.,Pratapgarh,Station A,market,2024-10-05,08:10:24,Saturday,Spring,Eyewitness,Female,46,Male,33,knife,scooter,3,Neighbor,IPC 323 (Assault),Assault,1.01,0.0,0.0,1.005622386932373
A theft was reported where items were stolen from a highway.,Didwana-Kuchaman,Station A,highway,2025-01-25,05:58:13,Saturday,Monsoon,Police,Other,42,Other,46,gun,bike,2,Relative,IPC 379 (Theft),Theft,1.34,0.0,0.0,1.3367257118225098
Eyewitnesses reported a fatal altercation involving a gun near the market.,Khairthal-Tijara,Station A,market,2025-03-22,18:46:54,Saturday,Winter,Eyewitness,Female,69,Female,52,gun,car,5,Relative,IPC 302 (Murder),Murder,1.1,0.0,0.0,1.1033974885940552
The accused physically assaulted the victim using a gun at a residential area.,Bundi,Station C,residential area,2025-02-03,03:27:31,Monday,Monsoon,Victim,Male,58,Female,49,gun,car,5,Stranger,IPC 323 (Assault),Assault,1.01,0.0,0.0,1.0143404603004456
The body of the victim was discovered at a park with signs of struggle.,Khairthal-Tijara,Station C,park,2025-05-23,13:22:04,Friday,Monsoon,Eyewitness,Other,48,Male,27,bare hands,scooter,4,Acquaintance,IPC 302 (Murder),Murder,0.8,0.0,0.0,0.8012655973434448
The accused forcefully snatched the victim's belongings and fled on a bike.,Udaipur,Station C,park,2024-12-02,18:06:07,Monday,Spring,Police,Male,18,Male,47,knife,bike,1,Stranger,IPC 392 (Robbery),Robbery,0.77,0.0,0.0,0.7719154357910156
A theft was reported where items were stolen from a market.,Didwana-Kuchaman,Station A,market,2025-02-13,02:33:12,Thursday,Spring,Victim,Other,16,Female,43,stick,scooter,5,Acquaintance,IPC 379 (Theft),Theft,1.36,0.0,0.0,1.3614492416381836
A theft was reported where items were stolen from a park.,Khairthal-Tijara,Station A,park,2024-06-23,06:49:34,Sunday,Winter,Eyewitness,Other,49,Male,34,stick,auto,4,Friend,IPC 379 (Theft),Theft,1.37,0.0,0.0,1.3701566755771637
The victim was attacked from behind with a knife at a school.,Nagaur,Station C,school,2024-08-14,14:27:01,Wednesday,Spring,Relative,Male,13,Female,66,knife,bike,1,Neighbor,IPC 323 (Assault),Assault,0.73,0.0,0.0,0.73188816010952
The victim was attacked and killed using a gun at a bus stop.,Kota,Station C,bus stop,2025-05-15,20:49:02,Thursday,Summer,Eyewitness,Male,21,Other,52,gun,auto,2,Neighbor,IPC 302 (Murder),Murder,1.2,0.0,0.0,1.1956493854522705
The accused forcibly entered the victim’s home and committed the crime.,Kota,Station B,bus stop,2024-09-20,03:42:43,Friday,Winter,Eyewitness,Female,49,Male,50,knife,scooter,1,Stranger,IPC 376 (Rape),Rape,1.05,0.0,0.0,1.0499506294727325
"A violent brawl broke out at a market, leading to serious injuries.",Sawai Madhopur,Station B,market,2025-03-06,01:43:37,Thursday,Summer,Relative,Other,19,Other,31,gun,car,1,Acquaintance,IPC 323 (Assault),Assault,0.79,0.0,0.0,0.79172283411026
"A violent brawl broke out at a market, leading to serious injuries.",Bikaner,Station C,market,2024-08-17,21:49:52,Saturday,Spring,Victim,Other,50,Other,25,knife,bike,2,Neighbor,IPC 323 (Assault),Assault,0.79,0.0,0.0,0.79172283411026
An incident of rape was reported where the accused lured the victim to a residential area.,Sirohi,Station C,residential area,2024-09-20,12:23:35,Friday,Spring,Police,Male,14,Male,58,knife,scooter,5,Stranger,IPC 376 (Rape),Rape,1.26,0.0,0.0,1.255059152841568
The accused forcefully snatched the victim's belongings and fled on a car.,Pratapgarh,Station C,highway,2024-07-01,16:21:11,Monday,Monsoon,Relative,Female,22,Female,56,knife,car,2,Neighbor,IPC 392 (Robbery),Robbery,0.78,0.0,0.0,0.7772024273872375
The body of the victim was discovered at a school with signs of struggle.,Baran,Station C,school,2024-06-05,22:16:49,Wednesday,Winter,Relative,Male,35,Female,29,knife,auto,1,Friend,IPC 302 (Murder),Murder,0.64,0.0,0.0,0.635125145316124
Unknown suspects broke into a park and stole valuables.,Udaipur,Station B,park,2025-01-27,07:59:43,Monday,Summer,Eyewitness,Male,33,Other,20,knife,bike,4,Neighbor,IPC 379 (Theft),Theft,1.03,0.0,0.0,1.0262937247753143
A gang of masked robbers looted a store at a residential area.,Jodhpur,Station B,residential area,2025-03-21,09:48:01,Friday,Monsoon,Eyewitness,Other,63,Other,54,knife,auto,2,Stranger,IPC 392 (Robbery),Robbery,1.14,0.0,0.0,1.1413362622261047
The victim was robbed at gunpoint while returning home from work.,Tonk,Station C,school,2024-11-08,08:00:01,Friday,Summer,Victim,Female,54,Male,61,bare hands,bike,3,Friend,IPC 392 (Robbery),Robbery,1.2,0.0,0.0,1.2045089900493622
"A heated argument turned violent at the residential area, injuring one person.",Jhalawar,Station C,residential area,2024-10-29,12:36:15,Tuesday,Spring,Relative,Female,75,Other,40,bare hands,scooter,2,Acquaintance,IPC 323 (Assault),Assault,0.92,0.0,0.0,0.9247208833694458
The victim was abducted and raped in a moving vehicle by unknown individuals.,Churu,Station C,school,2025-05-21,11:02:13,Wednesday,Monsoon,Relative,Other,56,Other,20,bare hands,scooter,3,Neighbor,IPC 376 (Rape),Rape,1.08,0.0,0.0,1.0808066725730896
A gang of masked robbers looted a store at a park.,Salumbar,Station C,park,2024-06-11,23:41:03,Tuesday,Winter,Relative,Female,14,Other,49,knife,scooter,2,Friend,IPC 392 (Robbery),Robbery,1.06,0.0,0.0,1.0635316371917725
The victim was robbed at gunpoint while returning home from work.,Hanumangarh,Station A,bus stop,2025-03-12,17:33:06,Wednesday,Spring,Police,Other,50,Male,23,gun,auto,4,Friend,IPC 392 (Robbery),Robbery,1.2,0.0,0.0,1.2045089900493622
The victim was abducted and raped in a moving vehicle by unknown individuals.,Bundi,Station A,bus stop,2025-02-11,02:17:04,Tuesday,Monsoon,Police,Male,80,Other,33,knife,scooter,4,Relative,IPC 376 (Rape),Rape,1.08,0.0,0.0,1.0808066725730896
The victim was abducted and raped in a moving vehicle by unknown individuals.,Kotputli-Behror,Station C,bus stop,2025-02-11,05:59:58,Tuesday,Spring,Police,Other,58,Female,31,knife,auto,1,Neighbor,IPC 376 (Rape),Rape,1.08,0.0,0.0,1.0808066725730896
An incident of rape was reported where the accused lured the victim to a highway.,Bharatpur,Station C,highway,2024-12-28,23:01:15,Saturday,Summer,Police,Male,22,Female,65,stick,car,2,Neighbor,IPC 376 (Rape),Rape,1.04,0.0,0.0,1.0392445921897888
"A violent brawl broke out at a park, leading to serious injuries.",Deeg,Station C,park,2024-07-24,00:08:17,Wednesday,Spring,Victim,Other,43,Female,17,bare hands,car,1,Acquaintance,IPC 323 (Assault),Assault,0.86,0.0,0.0,0.8555434942245483
"A violent brawl broke out at a residential area, leading to serious injuries.",Dungarpur,Station B,residential area,2025-03-10,19:09:25,Monday,Monsoon,Victim,Other,33,Other,61,bare hands,car,2,Neighbor,IPC 323 (Assault),Assault,1.02,0.0,0.0,1.0218038856983185
A gang of masked robbers looted a store at a highway.,Dausa,Station C,highway,2024-11-12,17:46:03,Tuesday,Summer,Eyewitness,Female,14,Other,21,stick,bike,5,Stranger,IPC 392 (Robbery),Robbery,0.98,0.0,0.0,0.9794159531593323
The accused physically assaulted the victim using a knife at a market.,Bundi,Station C,market,2024-10-23,10:04:13,Wednesday,Winter,Victim,Male,35,Female,56,knife,scooter,3,Acquaintance,IPC 323 (Assault),Assault,0.82,0.0,0.0,0.8213295936584473
The accused used a bare hands to fatally wound the victim at their residence.,Bhilwara,Station C,market,2024-10-09,14:49:14,Wednesday,Monsoon,Eyewitness,Female,29,Other,37,bare hands,car,5,Stranger,IPC 302 (Murder),Murder,0.99,0.0,0.0,0.9882590174674988
"A heated argument turned violent at the market, injuring one person.",Barmer,Station A,market,2025-01-05,01:16:36,Sunday,Summer,Police,Other,75,Female,32,bare hands,bike,2,Acquaintance,IPC 323 (Assault),Assault,0.64,0.0,0.0,0.63853320479393
A local resident was found murdered in a bus stop under mysterious circumstances.,Jaisalmer,Station C,bus stop,2024-10-16,18:19:11,Wednesday,Summer,Victim,Female,22,Female,46,gun,scooter,3,Neighbor,IPC 302 (Murder),Murder,0.96,0.0,0.0,0.9584812223911285
An incident of rape was reported where the accused lured the victim to a school.,Sirohi,Station B,school,2024-06-03,11:09:10,Monday,Spring,Eyewitness,Male,24,Other,49,bare hands,bike,3,Relative,IPC 376 (Rape),Rape,1.09,0.0,0.0,1.0923691391944885
A rape case was registered involving a Relative in an isolated park.,Salumbar,Station B,park,2025-04-23,14:22:03,Wednesday,Winter,Relative,Male,67,Male,63,gun,auto,4,Relative,IPC 376 (Rape),Rape,1.42,0.0,0.0,1.4202199280261993
Police received a report of assault involving two individuals at a park.,Bikaner,Station C,park,2025-05-27,20:07:26,Tuesday,Monsoon,Victim,Male,18,Female,19,stick,bike,1,Acquaintance,IPC 323 (Assault),Assault,1.02,0.0,0.0,1.0233026146888733
The accused used a knife to fatally wound the victim at their residence.,Rajsamand,Station C,bus stop,2024-06-22,13:58:32,Saturday,Winter,Police,Other,64,Male,47,knife,scooter,5,Friend,IPC 302 (Murder),Murder,1.03,0.0,0.0,1.030611366033554
The victim was robbed at gunpoint while returning home from work.,Barmer,Station B,park,2024-08-19,18:16:26,Monday,Monsoon,Victim,Other,20,Female,18,gun,auto,3,Neighbor,IPC 392 (Robbery),Robbery,1.2,0.0,0.0,1.2045089900493622
The victim reported being sexually assaulted by a Relative in a highway.,Barmer,Station C,highway,2025-05-21,04:28:17,Wednesday,Spring,Eyewitness,Female,22,Female,27,stick,auto,1,Relative,IPC 376 (Rape),Rape,0.74,0.0,0.0,0.7364521622657776
Unknown suspects broke into a market and stole valuables.,Rajsamand,Station B,market,2025-05-19,16:52:39,Monday,Monsoon,Eyewitness,Male,69,Other,69,bare hands,car,3,Friend,IPC 379 (Theft),Theft,1.06,0.0,0.0,1.062130630016327
Police received a report of assault involving two individuals at a residential area.,Dungarpur,Station A,residential area,2024-06-08,19:52:57,Saturday,Winter,Victim,Male,17,Female,55,gun,bike,1,Relative,IPC 323 (Assault),Assault,1.18,0.0,0.0,1.1789687275886536
An incident of rape was reported where the accused lured the victim to a highway.,Barmer,Station B,highway,2024-10-25,01:40:52,Friday,Monsoon,Police,Other,60,Female,24,gun,auto,4,Stranger,IPC 376 (Rape),Rape,1.04,0.0,0.0,1.0392445921897888
A gang of masked robbers looted a store at a school.,Dungarpur,Station A,school,2024-07-16,23:45:23,Tuesday,Winter,Eyewitness,Female,73,Other,15,knife,bike,5,Acquaintance,IPC 392 (Robbery),Robbery,0.9,0.0,0.0,0.9016091823577881
The victim was robbed at gunpoint while returning home from work.,Jodhpur,Station C,residential area,2025-01-23,17:38:49,Thursday,Monsoon,Victim,Other,11,Other,40,gun,auto,2,Stranger,IPC 392 (Robbery),Robbery,1.2,0.0,0.0,1.2045089900493622
Pickpocketing occurred in a crowded park.,Bharatpur,Station C,park,2024-10-05,11:53:25,Saturday,Summer,Relative,Male,38,Female,57,knife,bike,4,Friend,IPC 379 (Theft),Theft,0.81,0.0,0.0,0.8108842670917511
Robbers stormed a house and made away with cash and gold.,Sirohi,Station C,residential area,2025-02-11,13:25:19,Tuesday,Monsoon,Eyewitness,Other,73,Female,31,gun,bike,4,Relative,IPC 392 (Robbery),Robbery,1.0,0.0,0.0,1.004294514656067
A gang of masked robbers looted a store at a highway.,Dholpur,Station B,highway,2024-08-17,08:16:51,Saturday,Spring,Police,Male,44,Male,38,stick,scooter,2,Friend,IPC 392 (Robbery),Robbery,0.98,0.0,0.0,0.9794159531593323
The victim was abducted and raped in a moving vehicle by unknown individuals.,Balotra,Station B,highway,2025-04-24,20:36:07,Thursday,Spring,Eyewitness,Female,60,Other,31,stick,bike,3,Acquaintance,IPC 376 (Rape),Rape,1.08,0.0,0.0,1.0808066725730896
Jewelry and cash were stolen from a market during daytime.,Jodhpur,Station A,market,2025-05-02,18:08:10,Friday,Monsoon,Relative,Other,47,Other,15,knife,scooter,3,Neighbor,IPC 379 (Theft),Theft,1.79,0.8,0.0,0.9854668378829956
The victim was robbed at gunpoint while returning home from work.,Rajsamand,Station B,market,2025-05-28,11:08:17,Wednesday,Monsoon,Victim,Female,77,Female,53,knife,bike,4,Stranger,IPC 392 (Robbery),Robbery,1.2,0.0,0.0,1.2045089900493622
The body of the victim was discovered at a park with signs of struggle.,Sawai Madhopur,Station A,park,2024-12-07,15:49:46,Saturday,Spring,Police,Male,39,Other,38,bare hands,auto,5,Relative,IPC 302 (Murder),Murder,0.8,0.0,0.0,0.8012655973434448
A rape case was registered involving a Acquaintance in an isolated park.,Hanumangarh,Station B,park,2024-08-17,20:26:08,Saturday,Spring,Victim,Female,39,Other,41,stick,scooter,3,Acquaintance,IPC 376 (Rape),Rape,2.19,0.8,0.0,1.3853094577789307
The victim reported being sexually assaulted by a Friend in a school.,Kotputli-Behror,Station A,school,2025-04-07,11:48:06,Monday,Summer,Victim,Female,66,Female,40,knife,bike,4,Friend,IPC 376 (Rape),Rape,1.61,0.8,0.0,0.8050893545150757
The accused forcefully snatched the victim's belongings and fled on a car.,Jhalawar,Station C,park,2024-10-27,12:23:11,Sunday,Monsoon,Relative,Other,50,Other,23,gun,car,2,Acquaintance,IPC 392 (Robbery),Robbery,0.78,0.0,0.0,0.7772024273872375
The victim’s vehicle was broken into and items were stolen.,Pali,Station C,residential area,2025-01-04,15:52:39,Saturday,Monsoon,Eyewitness,Male,59,Female,46,gun,scooter,2,Stranger,IPC 379 (Theft),Theft,1.15,0.0,0.0,1.1471603214740753
The accused physically assaulted the victim using a knife at a highway.,Deeg,Station A,highway,2024-11-15,08:14:55,Friday,Summer,Eyewitness,Male,15,Male,60,knife,car,3,Friend,IPC 323 (Assault),Assault,0.89,0.0,0.0,0.8894864916801453
A theft was reported where items were stolen from a school.,Sawai Madhopur,Station C,school,2024-06-21,10:39:36,Friday,Spring,Eyewitness,Female,67,Male,17,gun,bike,1,Acquaintance,IPC 379 (Theft),Theft,1.14,0.0,0.0,1.142613708972931
The victim was attacked from behind with a stick at a residential area.,Deeg,Station C,residential area,2025-02-14,21:58:23,Friday,Summer,Victim,Other,12,Other,42,stick,car,2,Neighbor,IPC 323 (Assault),Assault,0.93,0.0,0.0,0.930401086807251
Pickpocketing occurred in a crowded market.,Nagaur,Station B,market,2025-01-09,05:16:05,Thursday,Spring,Eyewitness,Female,12,Male,17,bare hands,scooter,1,Relative,IPC 379 (Theft),Theft,0.77,0.0,0.0,0.7711847126483917
The accused physically assaulted the victim using a gun at a school.,Bikaner,Station B,school,2025-02-13,10:30:18,Thursday,Winter,Relative,Female,18,Other,35,gun,bike,2,Relative,IPC 323 (Assault),Assault,0.77,0.0,0.0,0.7719437777996063
"A violent brawl broke out at a bus stop, leading to serious injuries.",Jhalawar,Station B,bus stop,2024-08-20,00:16:10,Tuesday,Monsoon,Relative,Female,61,Other,23,knife,bike,4,Acquaintance,IPC 323 (Assault),Assault,0.81,0.0,0.0,0.808120608329773
The accused forcibly entered the victim’s home and committed the crime.,Jodhpur,Station A,highway,2024-10-20,15:04:09,Sunday,Winter,Police,Female,32,Female,20,bare hands,car,4,Neighbor,IPC 376 (Rape),Rape,1.05,0.0,0.0,1.0499506294727325
The accused physically assaulted the victim using a gun at a highway.,Kota,Station C,highway,2025-05-19,11:53:39,Monday,Summer,Relative,Male,50,Other,39,gun,scooter,3,Acquaintance,IPC 323 (Assault),Assault,0.91,0.0,0.0,0.9104351699352264
"A heated argument turned violent at the school, injuring one person.",Ajmer,Station A,school,2025-01-16,01:29:58,Thursday,Monsoon,Victim,Female,59,Male,57,bare hands,scooter,1,Stranger,IPC 323 (Assault),Assault,0.69,0.0,0.0,0.6881597936153412
The accused forcibly entered the victim’s home and committed the crime.,Karauli,Station C,park,2025-04-01,16:51:31,Tuesday,Monsoon,Eyewitness,Male,18,Other,24,gun,bike,2,Neighbor,IPC 376 (Rape),Rape,1.05,0.0,0.0,1.0499506294727325
Unknown suspects broke into a park and stole valuables.,Beawar,Station B,park,2024-08-15,09:05:04,Thursday,Summer,Eyewitness,Male,68,Male,48,knife,car,5,Friend,IPC 379 (Theft),Theft,1.03,0.0,0.0,1.0262937247753143
A theft was reported where items were stolen from a school.,Sikar,Station C,school,2024-08-29,22:42:26,Thursday,Monsoon,Relative,Female,64,Female,20,bare hands,auto,5,Stranger,IPC 379 (Theft),Theft,1.14,0.0,0.0,1.142613708972931
Police received a report of assault involving two individuals at a market.,Phalodi,Station A,market,2025-02-25,13:58:28,Tuesday,Summer,Relative,Male,73,Female,17,gun,scooter,2,Acquaintance,IPC 323 (Assault),Assault,1.01,0.0,0.0,1.005622386932373
The accused physically assaulted the victim using a bare hands at a residential area.,Jalore,Station C,residential area,2024-09-27,23:07:41,Friday,Monsoon,Eyewitness,Female,58,Other,29,bare hands,bike,1,Acquaintance,IPC 323 (Assault),Assault,0.88,0.0,0.0,0.8818514943122864
The victim reported being sexually assaulted by a Neighbor in a school.,Dungarpur,Station B,school,2025-05-27,05:11:57,Tuesday,Monsoon,Eyewitness,Female,50,Male,64,stick,car,4,Neighbor,IPC 376 (Rape),Rape,0.8,0.0,0.0,0.8048747777938843
"A heated argument turned violent at the market, injuring one person.",Baran,Station B,market,2025-04-06,14:37:35,Sunday,Winter,Victim,Other,76,Female,47,gun,car,3,Relative,IPC 323 (Assault),Assault,0.64,0.0,0.0,0.63853320479393
The accused used a knife to fatally wound the victim at their residence.,Alwar,Station B,park,2024-06-22,08:57:17,Saturday,Monsoon,Victim,Male,67,Other,24,knife,scooter,5,Acquaintance,IPC 302 (Murder),Murder,1.03,0.0,0.0,1.030611366033554
"A violent brawl broke out at a bus stop, leading to serious injuries.",Jalore,Station A,bus stop,2024-12-07,20:37:43,Saturday,Winter,Eyewitness,Male,12,Other,58,knife,scooter,1,Friend,IPC 323 (Assault),Assault,0.81,0.0,0.0,0.808120608329773
"A violent brawl broke out at a residential area, leading to serious injuries.",Balotra,Station B,residential area,2024-07-29,16:50:57,Monday,Monsoon,Police,Other,12,Other,68,gun,car,5,Relative,IPC 323 (Assault),Assault,1.02,0.0,0.0,1.0218038856983185
